size,runtime
1,0.00004
1,0.00002
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
1,0.00001
2,0.00002
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
2,0.00001
3,0.00002
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00001
3,0.00002
3,0.00001
3,0.00001
3,0.00001
3,0.00002
3,0.00001
3,0.00001
3,0.00001
3,0.00001
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
4,0.00002
5,0.00004
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
5,0.00003
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
6,0.00006
7,0.00012
7,0.00012
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00013
7,0.00012
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
7,0.00011
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00024
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
8,0.00023
9,0.00047
9,0.00047
9,0.00046
9,0.00046
9,0.00046
9,0.00046
9,0.00046
9,0.00046
9,0.00047
9,0.00046
9,0.00047
9,0.00047
9,0.00047
9,0.00047
9,0.00046
9,0.00046
9,0.00046
9,0.00047
9,0.00046
9,0.00046
9,0.00046
9,0.00046
9,0.00047
9,0.00046
9,0.00047
